Employee_ID;Salary;Department
20849;2585;4
2804;7140;2
25662;7935;2
15173;7446;7
18042;8441;2
8683;1389;5
27466;8063;7
28760;6791;6
2984;5528;1
7398;7716;7
7815;7192;1
5824;3593;4
22143;3017;3
12234;6508;7
1945;5783;5
9817;6387;6
5179;8821;5
10773;4061;4
14045;6091;5
13233;7688;2
20579;8786;6
3206;8138;1
19560;8870;3
6042;2239;5
26460;7952;4
3917;1512;3
22283;4390;7
19682;1730;3
21445;8152;4
10503;5855;4
5124;8653;1
15899;7048;7
13029;3311;2
3212;6352;5
9447;7138;3
29656;3892;3
3295;2648;5
27299;7652;2
16511;4949;2
21461;7008;4
25228;5288;6
5161;4027;7
24472;8205;5
19340;4835;1
8745;8141;2
24236;4724;6
17936;5719;5
20756;6496;2
11385;6075;7
2951;6514;2
24425;4308;1
19371;4651;4
18925;1036;5
14358;6408;4
29896;5333;1
26787;8802;1
5063;3267;6
3528;8504;6
25067;1281;6
28042;2172;2
13617;7052;5
8066;6219;1
17614;8162;4
23941;8372;4
13010;4676;1
14217;7537;3
1432;5632;5
18678;7253;3
4021;6262;4
10809;8781;5
24651;7443;3
20342;1636;5
28372;5625;5
76;7767;7
15059;8779;5
10522;3639;6
28051;5522;4
14324;5966;4
19485;1604;7
28730;8166;1
26422;6758;6
20119;7763;7
20418;2325;1
7690;1282;5
22572;5789;3
16311;2018;5
3053;6157;3
13750;6076;7
23048;2770;1
27326;8636;4
16231;8942;7
5916;1642;1
20861;2585;2
16036;7800;1
21835;2325;3
16133;1999;5
7717;3143;3
24417;7341;1
19589;1335;3
29411;6194;7
24740;3283;4
11635;5694;5
10714;2496;5
5421;1381;7
12683;1125;6
1241;5230;7
17132;5692;5
23668;6419;4
7113;7152;4
12257;8064;1
21417;2775;5
15044;5579;3
21456;8964;6
15324;6973;7
4118;7472;2
28648;3912;1
17172;4320;4
20740;6256;6
24930;6223;4
19837;2107;6
18568;8401;1
25526;7632;7
15588;3397;1
28994;4325;2
13423;8650;5
9191;4346;4
4495;7150;6
19724;1676;4
24991;3229;2
25837;4011;6
2889;2298;3
16658;8984;5
14414;1824;2
23877;1636;2
4648;1973;2
6912;4461;1
12964;7010;5
1357;6860;4
20856;3300;7
24277;2940;3
26498;1062;7
294;2031;5
21656;8848;6
7581;7178;3
3129;1417;4
22697;5800;5
25022;1386;1
12278;8697;6
26426;4810;3
3905;8303;6
28003;4344;1
397;8792;1
17596;3831;3
25382;7379;7
6179;8082;4
19115;2248;2
4384;4266;1
24537;2595;2
26163;1550;7
6746;4210;5
14691;4881;1
24729;4852;3
2727;2609;2
19838;3598;5
19338;5006;7
18164;7217;1
13219;3086;7
3260;7661;2
1031;1604;2
17290;6975;3
25696;3441;6
190;7677;4
25360;6747;1
20067;7374;5
14308;1650;5
21551;7680;4
6269;8621;3
21909;7457;5
5476;4120;1
23143;3967;7
14067;6320;3
20690;8721;2
14778;5852;1
1002;7856;5
14458;3800;1
19126;7141;6
24928;3171;2
18121;4025;5
25597;3954;3
27711;5791;1
13580;5547;7
147;2780;1
16794;4985;2
21618;3601;7
9279;1489;2
12857;1596;4
7828;3892;1
1095;1392;7
15858;5380;7
4688;4217;3
27905;6573;2
15943;5632;5
5588;7464;1
25869;7498;4
14614;8992;5
19617;2786;4
3400;1229;4
10427;3462;5
28126;3737;1
4179;3632;1
20974;7182;3
6846;5418;1
4377;3738;5
10145;8330;5
13348;5052;5
19065;3957;2
28622;4667;1
24099;7764;4
26186;8767;6
16710;4295;7
17252;6222;2
17777;5095;6
15629;2067;4
23572;1376;3
493;3034;1
15094;1670;3
22761;1970;4
7920;3618;5
19973;7591;6
21021;5717;2
14026;1705;3
22771;7947;2
23156;5499;7
9486;3197;5
26521;2774;6
26175;8015;5
28365;2665;4
18308;8794;3
19634;8430;4
5187;1744;4
24491;1432;6
19042;4628;2
4436;1362;4
21605;7871;4
10168;5662;5
6960;7478;2
27951;7657;6
1495;6111;2
11504;1888;2
29167;7889;7
10403;3312;5
2641;5696;2
20306;8135;2
15569;4936;1
11203;8163;5
13388;5814;6
25541;8283;7
13533;6918;3
22820;6262;2
10536;7227;2
2039;3656;4
19375;4697;4
17472;1154;5
7848;7156;4
4322;8200;7
26442;3804;7
13896;4144;3
15567;2004;7
34;2282;2
18548;2816;6
8369;4361;3
5233;6183;2
7223;4552;1
11112;3319;6
17486;8326;2
3671;7558;2
14177;1645;4
13751;2071;6
26323;8682;3
20850;8816;1
8168;3677;1
6925;6882;2
14606;8875;7
8384;5083;4
7704;7836;6
10289;5264;4
